id,type
7063,House
79,House
5417,House
2889,House
3517,House
4923,House
159,House
6901,House
5917,House
6947,House
5322,House
3646,Apartment / Unit / Flat
1261,House
4251,House
5573,Apartment / Unit / Flat
5578,House
6437,House
1839,House
2275,House
859,Apartment / Unit / Flat
1885,House
2644,House
5661,House
6876,House
4621,House
6028,House
2812,Apartment / Unit / Flat
3968,House
298,House
2038,House
3972,House
2763,House
4752,House
6983,House
5707,Villa
4162,House
6359,House
6586,House
2355,House
2518,Vacant land
5984,House
2843,House
6319,House
1276,Apartment / Unit / Flat
1095,House
6195,House
4658,House
2834,House
5174,House
2164,House
4681,House
3672,House
2623,House
3666,Apartment / Unit / Flat
6523,Apartment / Unit / Flat
1700,Apartment / Unit / Flat
2686,House
7079,Vacant land
3341,House
3959,House
5202,House
6468,House
3995,House
3358,House
1275,House
6497,House
4384,House
6918,House
3090,House
2314,House
6658,Apartment / Unit / Flat
6666,House
6552,House
1235,House
988,House
1627,House
1271,House
1974,House
5596,Apartment / Unit / Flat
160,House
3507,Apartment / Unit / Flat
1964,House
4414,House
5912,House
5887,House
3607,House
6094,House
4818,House
599,House
3307,House
3441,House
2318,House
6269,House
4663,House
354,House
2223,House
5690,House
5777,House
6212,House
6746,House
268,House
5276,House
808,House
3438,House
245,Villa
6293,House
3096,House
1924,House
2795,House
5073,House
4141,House
914,House
3518,House
3965,House
1262,House
6200,House
1254,House
976,House
6175,Townhouse
2852,House
457,House
809,House
6127,House
559,House
3787,House
6900,House
4326,House
1010,House
349,Vacant land
5506,House
1085,Townhouse
2085,House
5448,House
376,House
2250,House
2523,House
343,House
2527,Apartment / Unit / Flat
4932,House
4963,House
2846,House
878,Apartment / Unit / Flat
905,House
5662,House
1570,House
7012,Semi-Detached
5921,House
4035,House
4494,Apartment / Unit / Flat
4265,Apartment / Unit / Flat
1468,House
5575,Apartment / Unit / Flat
3974,House
5604,Vacant land
1192,House
3633,House
253,House
644,Vacant land
2437,House
80,House
6176,House
1779,House
1316,House
6328,House
2919,Vacant land
2182,House
2323,House
6382,House
1151,House
3401,House
1298,House
3228,House
2647,House
4253,Apartment / Unit / Flat
6301,House
4302,House
5146,House
927,House
5425,House
4933,House
4040,House
677,House
3452,House
4541,House
5640,House
3159,House
706,House
4792,House
5443,House
437,House
2820,Townhouse
3027,House
4011,House
4084,House
3662,House
6498,House
3703,House
6165,House
5812,House
2319,House
6369,House
2800,House
1938,Vacant land
675,House
3157,House
4214,House
2123,Apartment / Unit / Flat
1219,House
611,House
4586,House
513,Apartment / Unit / Flat
4252,Apartment / Unit / Flat
6670,Apartment / Unit / Flat
5059,Apartment / Unit / Flat
4794,House
6920,House
944,House
1771,House
2308,Apartment / Unit / Flat
2493,House
5820,House
517,House
5537,House
6877,House
5261,House
1657,House
5570,House
3356,House
3551,House
2211,Apartment / Unit / Flat
4640,House
6800,House
1256,House
3083,House
5764,House
6944,House
4786,Duplex
5211,House
6878,House
2532,House
7086,House
6729,Apartment / Unit / Flat
4590,House
6411,House
5994,House
1772,House
2488,House
4549,Apartment / Unit / Flat
6036,House
5270,House
3186,House
6346,House
4698,House
3024,House
99,House
5651,House
1399,House
5290,House
5608,House
119,Vacant land
3277,House
3629,House
1826,House
6177,Villa
5710,House
2702,House
1717,House
4484,Semi-Detached
7074,House
6190,House
3067,House
4970,House
4536,House
2524,House
2762,House
799,House
5219,House
5370,House
3184,Villa
2498,House
5199,House
4609,House
6187,House
1206,House
3643,House
3954,House
6969,House
6663,House
6689,House
1259,House
5389,Apartment / Unit / Flat
2051,House
5004,House
6986,House
270,House
6356,House
6477,House
5962,House
6158,House
901,House
1302,Villa
1117,House
6285,House
3325,House
589,House
801,House
1813,House
4422,House
341,House
4482,House
1303,House
1218,Apartment / Unit / Flat
2964,House
1237,House
2959,Villa
5497,House
3316,House
1816,House
4606,House
6886,House
185,House
5061,House
572,House
1714,House
418,House
4677,House
4612,House
1676,Villa
4812,House
123,House
5284,House
2678,House
6550,House
2139,House
4524,House
461,House
2144,House
3061,House
2467,House
4051,House
3062,House
1847,House
1426,House
4910,House
5278,House
3084,House
1733,House
2951,House
2132,House
4874,House
6648,House
2672,Apartment / Unit / Flat
2977,Apartment / Unit / Flat
3386,House
6494,Semi-Detached
3429,House
1769,House
5373,House
1207,Villa
4307,Apartment / Unit / Flat
4345,House
2725,House
1593,House
1689,House
1057,House
903,House
4382,House
5017,House
1378,House
585,House
3836,House
5765,House
5088,House
3093,House
6484,House
1433,House
3252,Semi-Detached
5358,House
2020,House
6428,House
5203,House
4912,House
3950,House
2138,House
5123,House
5755,House
7025,Townhouse
4819,House
6804,Apartment / Unit / Flat
2160,House
74,House
4034,House
4220,House
5743,House
2300,House
4648,House
6208,House
4254,Apartment / Unit / Flat
794,House
5458,House
3045,House
3164,House
5415,House
3754,Villa
3127,House
6406,House
2284,House
4955,Apartment / Unit / Flat
4951,House
5905,House
3734,House
1868,House
3088,House
5133,House
7055,House
486,House
2184,House
1265,Apartment / Unit / Flat
1244,Apartment / Unit / Flat
4795,Apartment / Unit / Flat
4803,House
1205,House
1848,House
1615,House
5924,House
5018,House
6489,House
2088,Villa
5499,House
5150,House
3091,House
1672,House
294,Vacant land
1379,House
3488,House
1653,Townhouse
1018,House
3730,House
3446,House
4212,House
2055,House
21,House
1980,House
1567,House
4037,House
5657,House
2008,Semi-Detached
91,Townhouse
4928,House
438,House
5623,House
5489,House
2069,House
3505,House
3774,House
5375,House
7050,House
6584,House
4589,House
534,House
4446,House
6083,House
4466,House
3720,Terrace
3539,House
562,House
4369,House
2660,House
162,House
6042,House
2099,Apartment / Unit / Flat
139,House
473,House
500,House
5785,House
4755,Apartment / Unit / Flat
6820,House
3498,House
6845,House
2911,House
3173,Apartment / Unit / Flat
973,House
3877,House
1202,House
2497,Block of Units
2572,House
951,House
144,House
4278,House
5356,House
386,House
5935,House
728,House
1875,Semi-Detached
3824,House
6856,House
624,Apartment / Unit / Flat
2988,House
2832,House
2079,Apartment / Unit / Flat
4224,House
210,House
4308,House
