id,price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,suburbpopulation,postcode,ethnic_breakdown,suburb_median_house_price,median_house_rent_per_week,suburb_median_apartment_price,median_apartment_rent_per_week,public_housing_pct,avg_years_held,time_to_cbd_public_transport_town_hall_st,time_to_cbd_driving_town_hall_st,nearest_train_station,highlights_attractions,ideal_for,traffic,public_transport,affordability_rental,affordability_buying,nature,noise,things_to_see_do,family_friendliness,pet_friendliness,safety,overall_rating
4863,1575000.0,2021-09-15,Jannali,2,3,2,569,House,6184.0,40560,2.496,-34.01586,151.06319,76,0.1,220.1,21.53,Sutherland Shire,"6,250",2226,"English 28.2%,Australian 26.3%,Irish 9.8%,Scottish 6.5%,Chinese 3.0%",1050000.0,610.0,620000.0,465.0,8%,13.7,35.0,45.0,Jannali,"Royal National Park,Union Place Hotel","Small families,families,retirees,professionals",6.0,6.0,7.0,7.0,7.0,8.0,2.0,8.0,8.0,9.0,6.8
1175,1368000.0,2017-12-07,Westleigh,2,3,2,749,House,4456.0,44044,3.821,-33.70912,151.07001,168,1.5,174.2,21.62,Northern Suburbs,"4,500",2120,"English 26.6%,Australian 23.6%,Irish 8.3%,Scottish 7.2%,Chinese 6.6%",1300000.0,760.0,0.0,0.0,0%,13.5,70.0,35.0,Thornleigh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,525000.0,2017-09-16,Penrith,2,2,1,100,Apartment / Unit / Flat,13295.0,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99,Western Suburbs,"13,500",2750,"English 25.5%,Australian 24.5%,Irish 8.6%,Scottish 6.4%,German 2.5%",630000.0,410.0,450000.0,380.0,11%,10.6,60.0,50.0,Penrith,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,1080000.0,2018-02-15,Greystanes,2,4,4,721,House,22802.0,33800,8.969,-33.82378,150.93855,62,1.5,171.9,25.53,Western Suburbs,"23,000",2145,"Australian 18.5%,English 14.9%,Lebanese 9.9%,Maltese 5.6%,Irish 5.6%",820000.0,500.0,640000.0,430.0,2%,15.7,60.0,35.0,Parramatta,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564,840000.0,2018-08-18,Casula,2,4,2,786,House,15662.0,30368,7.072,-33.95198,150.89671,44,1.5,166.6,30.52,Western Suburbs,"15,750",2170,"Australian 11.8%,English 10.9%,Lebanese 6.6%,Italian 5.9%,Indian 5.7%",750000.0,490.0,580000.0,450.0,6%,11.4,65.0,45.0,Casula,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3760,1000000.0,2021-02-24,Caringbah,2,3,2,190,Townhouse,11658.0,42380,4.089,-34.03534,151.12423,22,0.1,183.1,20.47,Sutherland Shire,"12,000",2229,"English 27.6%,Australian 25.6%,Irish 9.8%,Scottish 6.5%,Italian 3.0%",1200000.0,700.0,690000.0,510.0,7%,12.6,50.0,40.0,Caringbah,0,"Retirees,professionals,families",6.0,6.0,6.0,4.0,6.0,8.0,2.0,8.0,8.0,8.0,6.2
4728,2680000.0,2021-08-21,West Ryde,5,6,2,613,House,13394.0,38584,3.566,-33.8063,151.08417,35,0.1,210.1,13.34,North Shore,"13,500",2114,"Chinese 19.4%,English 12.9%,Australian 12.4%,Korean 7.0%,Indian 6.2%",1500000.0,610.0,630000.0,410.0,4%,14.2,30.0,25.0,West Ryde,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6641,1178600.0,2021-12-07,Wattle Grove,2,5,2,656,House,8952.0,44096,2.591,-33.95266,150.93951,15,0.1,210.1,26.82,Western Suburbs,"9,000",2173,"Australian 23.0%,English 19.5%,Irish 6.3%,Indian 5.7%,Scottish 4.6%",800000.0,525.0,0.0,485.0,1%,12.6,70.0,40.0,Holsworthy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783,479000.0,2018-12-02,Pendle Hill,1,2,1,106,Apartment / Unit / Flat,7247.0,30680,1.964,-33.80402,150.95535,52,1.5,171.9,24.52,Western Suburbs,"7,500",2145,"Indian 20.7%,Australian 12.4%,English 10.5%,Sri Lankan 4.0%,Chinese 3.8%",875000.0,475.0,480000.0,415.0,10%,14.3,40.0,35.0,Pendle Hill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,1085000.0,2021-10-27,Raby,2,3,4,1290,House,5944.0,39104,2.659,-34.02019,150.81645,67,0.1,220.1,40.23,South West,"6,000",2566,"English 23.8%,Australian 23.5%,Irish 7.6%,Scottish 5.4%,Italian 2.7%",600000.0,435.0,0.0,0.0,0%,12.7,80.0,50.0,Minto,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
